Indice,Fecha,ID_aerolinea,Matricula,Num_vuelo,ID_Origgen_Seq,Origen,ID_Destino_Seq,Destino,Hora_salida,Retraso_Salida,Hora_llegada,Retraso_llegada,Retraso_Clima
0,08/01/2018,19805,N956AN,1587,1247805,JFK,1410702,PHX,1649,9,2006,44,0
1,08/01/2018,19805,N973AN,1588,1410702,PHX,1161802,EWR,1541,29,2350,53,0
2,08/01/2018,19805,N9006,1590,1104205,CLE,1129806,DFW,741,-3,938,-2,4.030194512
3,08/01/2018,19805,N870NN,1591,1484306,SJU,1129806,DFW,944,44,1347,43,0
4,08/01/2018,19805,N9023N,1593,1042302,AUS,1330303,MIA,556,-4,951,-2,4.030194512
5,08/01/2018,19805,N924NN,1594,1143302,DTW,1393006,ORD,1151,-10,1224,-7,4.030194512
6,08/01/2018,19805,N924NN,1594,1393006,ORD,1143302,DTW,849,-1,1110,5,4.030194512
7,08/01/2018,19805,N905AU,1595,1042302,AUS,1129806,DFW,655,-6,757,-13,4.030194512
8,08/01/2018,19805,N301NW,1596,1129806,DFW,1385103,OKC,1233,-2,1329,-5,4.030194512
9,08/01/2018,19805,N301NW,1596,1385103,OKC,1129806,DFW,1415,-10,1530,1,4.030194512
10,08/01/2018,19805,N878NN,1597,1295304,LGA,1129806,DFW,546,1,817,-17,4.030194512
11,08/01/2018,19805,N147AA,1598,1289208,LAX,1393006,ORD,705,-5,1324,2,4.030194512
12,08/01/2018,19805,N972NN,1599,1129806,DFW,1490803,SNA,1227,-3,1331,0,4.030194512
13,08/01/2018,19805,N972NN,1599,1490803,SNA,1129806,DFW,1435,18,1939,14,4.030194512
14,08/01/2018,19805,N200NV,1602,1330303,MIA,1129806,DFW,2209,34,17,36,0
15,08/01/2018,19805,N9016,1604,1468305,SAT,1330303,MIA,532,-10,935,-10,4.030194512
16,08/01/2018,19805,N980TW,1605,1129806,DFW,1449202,RDU,1824,-6,2204,-8,4.030194512
17,08/01/2018,19805,N837NN,1606,1467903,SAN,1393006,ORD,2322,36,511,21,0
18,08/01/2018,19805,N9625W,1607,1129806,DFW,1104205,CLE,2018,84,2349,75,0
19,08/01/2018,19805,N989AU,1608,1129806,DFW,1295304,LGA,1028,-2,1454,-8,4.030194512
20,08/01/2018,19805,N989AU,1608,1295304,LGA,1129806,DFW,1552,-7,2015,70,0
21,08/01/2018,19805,N148AN,1609,1042302,AUS,1129806,DFW,919,-2,1040,9,4.030194512
22,08/01/2018,19805,N189AN,1610,1247805,JFK,1330303,MIA,801,1,1109,-9,4.030194512
23,08/01/2018,19805,N155NN,1611,1129806,DFW,1467903,SAN,700,0,752,-1,4.030194512
24,08/01/2018,19805,N155NN,1611,1467903,SAN,1129806,DFW,844,-1,1347,-2,4.030194512
25,08/01/2018,19805,N882NN,1612,1129806,DFW,1199603,GSP,1016,-4,1328,-9,4.030194512
26,08/01/2018,19805,N882NN,1612,1199603,GSP,1129806,DFW,1420,-2,1544,-16,4.030194512
27,08/01/2018,19805,N184AN,1613,1330303,MIA,1484306,SJU,1159,-6,1436,-8,4.030194512
28,08/01/2018,19805,N184AN,1613,1484306,SJU,1330303,MIA,1538,-7,1814,-25,4.030194512
29,08/01/2018,19805,N835NN,1614,1226603,IAH,1330303,MIA,1137,33,1523,38,0
30,08/01/2018,19805,N835NN,1614,1330303,MIA,1226603,IAH,900,21,1055,36,0
31,08/01/2018,19805,N971TW,1615,1393102,ORF,1129806,DFW,702,-8,919,-9,4.030194512
32,08/01/2018,19805,N9621A,1616,1129806,DFW,1501606,STL,1504,9,1646,11,4.030194512
33,08/01/2018,19805,N9621A,1616,1501606,STL,1129806,DFW,1735,14,1948,34,0
34,08/01/2018,19805,N9029F,1618,1039707,ATL,1330303,MIA,2003,-7,2229,9,4.030194512
35,08/01/2018,19805,N9029F,1618,1330303,MIA,1039707,ATL,1728,-2,1930,0,4.030194512
37,08/01/2018,19805,N847NN,1619,1129806,DFW,1105703,CLT,708,-2,1054,5,4.030194512
38,08/01/2018,19805,N9012,1620,1129806,DFW,1537002,TUL,650,-5,743,-12,4.030194512
39,08/01/2018,19805,N9012,1620,1537002,TUL,1129806,DFW,834,-10,954,-16,4.030194512
40,08/01/2018,19805,N969NN,1621,1410005,PHL,1467903,SAN,800,-5,1020,-15,4.030194512
41,08/01/2018,19805,N982NN,1622,1129202,DEN,1129806,DFW,1042,-4,1338,-9,4.030194512
42,08/01/2018,19805,N982NN,1622,1129806,DFW,1129202,DEN,853,-4,1005,4,4.030194512
43,08/01/2018,19805,N350AN,1623,1330303,MIA,1410005,PHL,654,-1,946,2,4.030194512
44,08/01/2018,19805,N141NN,1624,1129806,DFW,1467903,SAN,1540,20,1619,6,4.030194512
45,08/01/2018,19805,N141NN,1624,1467903,SAN,1129806,DFW,1734,-5,2240,-5,4.030194512
46,08/01/2018,19805,N815AA,1625,1393006,ORD,1129806,DFW,659,-6,907,-20,4.030194512
47,08/01/2018,19805,N902AA,1626,1295304,LGA,1330303,MIA,1511,-4,1900,12,4.030194512
48,08/01/2018,19805,N910AU,1628,1289208,LAX,1072102,BOS,1544,-1,13,-6,4.030194512
49,08/01/2018,19805,N346PR,1629,1042302,AUS,1393006,ORD,1048,-6,1354,10,4.030194512
50,08/01/2018,19805,N346PR,1629,1393006,ORD,1042302,AUS,719,-5,939,-17,4.030194512
51,08/01/2018,19805,N601AW,1630,1039707,ATL,1129806,DFW,1613,0,1751,10,4.030194512
52,08/01/2018,19805,N657AW,1631,1105703,CLT,1349505,MSY,1907,2,2118,79,2
53,08/01/2018,19805,N923US,1632,1129806,DFW,1410702,PHX,2046,6,2106,0,4.030194512
54,08/01/2018,19805,N815AW,1633,1468305,SAT,1410702,PHX,840,15,858,0,4.030194512
55,08/01/2018,19805,N582UW,1634,1127805,DCA,1410702,PHX,706,1,912,6,4.030194512
56,08/01/2018,19805,N110UW,1635,1449202,RDU,1410005,PHL,527,-8,640,-19,4.030194512
57,08/01/2018,19805,N189UW,1636,1105703,CLT,1129202,DEN,1812,87,1932,68,48
58,08/01/2018,19805,N656AW,1638,1530402,TPA,1105703,CLT,701,21,842,16,0
59,08/01/2018,19805,N198UW,1639,1105703,CLT,1295304,LGA,1009,-1,1202,-11,4.030194512
